NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Range of features,Average,5030,27.60%,31.50%,19.80%,26.80%,20.00%,27.60%,40.50%,24.50%,24.50%,26.70%,28.80%
,Don't know / Not applicable,1528,8.40%,5.90%,9.50%,10.00%,7.40%,6.10%,9.90%,6.70%,8.80%,8.70%,6.20%
,Excellent,2395,13.10%,11.10%,20.70%,10.80%,17.00%,14.50%,6.30%,20.70%,15.80%,8.40%,11.80%
,Good,7034,38.60%,33.00%,40.70%,42.10%,45.10%,40.80%,22.80%,37.40%,40.90%,38.70%,42.70%
,Poor,1455,8.00%,10.80%,7.30%,6.90%,6.10%,7.40%,14.50%,6.10%,6.10%,11.20%,6.90%
,Very Poor,801,4.40%,7.70%,2.00%,3.40%,4.40%,3.60%,6.10%,4.70%,3.90%,6.30%,3.60%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Range of devices ava,Average,3021,16.60%,18.10%,11.10%,13.30%,8.40%,18.70%,33.10%,16.90%,13.50%,15.50%,14.50%
,Don't know / Not applicable,972,5.30%,7.00%,6.80%,4.00%,8.70%,7.30%,3.70%,2.20%,7.90%,4.90%,5.80%
,Excellent,5217,28.60%,22.30%,29.30%,30.70%,33.60%,23.20%,15.70%,36.70%,31.60%,24.20%,29.20%
,Good,7773,42.60%,42.80%,41.60%,46.40%,44.60%,44.10%,39.80%,35.10%,40.50%,46.90%,46.10%
,Poor,742,4.10%,5.50%,7.30%,3.30%,3.10%,4.60%,5.10%,4.50%,3.70%,5.20%,2.70%
,Very Poor,518,2.80%,4.20%,3.90%,2.30%,1.60%,2.00%,2.70%,4.60%,2.80%,3.20%,1.80%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Value for money,Average,5987,32.80%,32.70%,34.50%,38.50%,39.30%,32.10%,19.30%,30.20%,31.00%,36.20%,36.70%
,Don't know / Not applicable,165,0.90%,0.70%,0.90%,0.80%,0.50%,1.10%,1.50%,0.50%,1.20%,1.40%,0.20%
,Excellent,1910,10.50%,6.90%,14.80%,4.90%,6.10%,6.40%,13.60%,17.70%,15.80%,5.70%,7.30%
,Good,4079,22.40%,14.00%,27.50%,19.70%,24.40%,17.50%,17.00%,27.80%,27.10%,22.30%,22.10%
,Poor,3650,20.00%,23.00%,15.70%,23.10%,17.00%,26.80%,27.60%,14.20%,15.20%,18.10%,20.40%
,Very Poor,2452,13.40%,22.60%,6.60%,12.90%,12.80%,16.10%,20.90%,9.60%,9.70%,16.20%,13.30%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
