NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Horse riding,Not at all interested,12314,74.80%,77.30%,75.60%,83.90%,82.00%,82.10%,49.70%,64.40%,79.10%,68.40%,82.20%
,Not very interested,2951,17.90%,15.90%,19.30%,11.70%,13.20%,13.70%,24.80%,29.00%,16.00%,28.70%,12.20%
,Quite interested,813,4.90%,4.50%,4.30%,3.30%,3.30%,3.50%,15.30%,5.00%,3.50%,1.90%,3.90%
,Very interested,388,2.40%,2.30%,0.80%,1.20%,1.50%,0.70%,10.20%,1.60%,1.40%,1.00%,1.70%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Ice hockey,Not at all interested,6070,36.90%,36.90%,41.90%,31.00%,37.60%,41.70%,38.80%,36.40%,38.60%,38.20%,40.70%
,Not very interested,4163,25.30%,25.10%,28.20%,21.80%,20.90%,25.60%,31.00%,32.00%,22.40%,33.80%,19.40%
,Quite interested,3937,23.90%,24.10%,17.30%,27.70%,25.20%,19.50%,22.90%,22.10%,23.30%,18.80%,26.70%
,Very interested,2296,13.90%,13.90%,12.70%,19.50%,16.30%,13.30%,7.40%,9.50%,15.70%,9.10%,13.10%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - MMA / Combate,Not at all interested,9998,60.70%,63.40%,52.00%,69.10%,63.00%,70.50%,47.80%,48.50%,63.80%,46.50%,68.80%
,Not very interested,3371,20.50%,18.40%,23.40%,15.40%,16.50%,17.00%,30.10%,26.30%,17.80%,30.20%,16.20%
,Quite interested,2047,12.40%,12.30%,14.00%,10.50%,13.70%,9.10%,16.50%,14.90%,11.50%,15.90%,10.30%
,Very interested,1050,6.40%,5.90%,10.70%,5.10%,6.90%,3.40%,5.70%,10.20%,6.90%,7.40%,4.70%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Motor sports,Not at all interested,5813,35.30%,40.30%,32.00%,42.00%,35.80%,24.40%,33.10%,28.70%,39.00%,18.00%,39.20%
,Not very interested,3519,21.40%,22.90%,22.60%,20.30%,20.90%,20.40%,25.80%,24.90%,21.60%,18.20%,17.30%
,Quite interested,4044,24.60%,21.80%,26.10%,21.60%,24.90%,26.90%,26.70%,25.70%,22.70%,31.20%,25.50%
,Very interested,3090,18.80%,15.00%,19.30%,16.10%,18.40%,28.30%,14.40%,20.70%,16.70%,32.60%,18.00%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Olympic Games / Paralympic Game,Not at all interested,3134,19.00%,26.30%,15.20%,23.80%,23.20%,14.40%,15.00%,11.50%,18.90%,13.90%,24.20%
,Not very interested,2461,14.90%,17.10%,15.20%,14.90%,13.40%,14.00%,17.80%,14.70%,15.20%,13.40%,13.00%
,Quite interested,5314,32.30%,31.30%,25.10%,28.80%,31.70%,31.10%,41.10%,33.00%,30.60%,34.40%,34.60%
,Very interested,5557,33.70%,25.20%,44.40%,32.50%,31.70%,40.50%,26.10%,40.80%,35.30%,38.30%,28.20%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Rally Racing,Not at all interested,8817,53.50%,62.60%,56.90%,62.70%,53.90%,49.70%,43.60%,47.80%,54.10%,36.50%,58.70%
,Not very interested,4193,25.50%,22.70%,25.90%,20.20%,23.80%,27.90%,27.60%,31.70%,25.90%,36.00%,20.00%
,Quite interested,2475,15.00%,10.90%,11.20%,12.50%,16.10%,17.10%,21.50%,13.60%,13.90%,17.70%,16.80%
,Very interested,981,6.00%,3.70%,6.10%,4.60%,6.20%,5.30%,7.30%,6.90%,6.10%,9.70%,4.50%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Rugby union,Not at all interested,7656,46.50%,46.10%,51.50%,56.50%,30.70%,32.90%,38.30%,50.50%,52.10%,34.00%,37.80%
,Not very interested,3908,23.70%,22.70%,28.70%,20.10%,16.30%,26.50%,28.60%,32.20%,21.70%,30.70%,16.40%
,Quite interested,3064,18.60%,19.30%,12.70%,16.20%,24.20%,26.90%,24.00%,11.40%,15.60%,24.10%,23.10%
,Very interested,1838,11.20%,11.80%,7.10%,7.20%,28.80%,13.70%,9.10%,5.90%,10.60%,11.20%,22.70%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Sailing,Not at all interested,11769,71.50%,72.10%,70.30%,81.40%,73.40%,57.00%,67.60%,62.70%,72.30%,59.80%,77.30%
,Not very interested,3575,21.70%,19.30%,23.60%,13.80%,17.70%,25.60%,26.00%,31.60%,20.50%,34.50%,16.70%
,Quite interested,827,5.00%,6.70%,3.60%,3.10%,6.50%,13.60%,5.00%,4.20%,5.20%,4.40%,4.90%
,Very interested,295,1.80%,1.90%,2.50%,1.70%,2.40%,3.90%,1.40%,1.60%,1.90%,1.30%,1.10%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Swimming,Not at all interested,9464,57.50%,59.70%,53.60%,69.40%,60.70%,42.70%,49.20%,41.10%,60.70%,43.00%,69.00%
,Not very interested,4630,28.10%,25.50%,30.70%,21.40%,24.50%,32.90%,38.00%,34.10%,25.60%,39.90%,21.60%
,Quite interested,1869,11.40%,11.80%,10.90%,7.40%,13.40%,19.50%,11.60%,17.80%,10.70%,12.50%,7.90%
,Very interested,503,3.10%,3.00%,4.80%,1.90%,1.40%,5.00%,1.20%,7.00%,3.00%,4.50%,1.50%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Tennis,Not at all interested,6411,38.90%,47.00%,28.40%,51.50%,41.90%,24.20%,35.90%,28.70%,39.70%,16.70%,46.00%
,Not very interested,4282,26.00%,27.40%,31.00%,23.70%,21.60%,18.30%,37.60%,26.00%,25.30%,23.90%,25.80%
,Quite interested,3843,23.30%,18.80%,24.10%,17.60%,26.40%,31.20%,21.50%,26.10%,22.90%,37.80%,21.60%
,Very interested,1930,11.70%,6.70%,16.50%,7.20%,10.10%,26.30%,5.00%,19.10%,12.10%,21.60%,6.60%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How interested are you in watching each of these sports? - Volleyball,Not at all interested,9115,55.40%,69.30%,39.10%,67.00%,60.40%,31.20%,41.50%,39.90%,57.20%,46.80%,74.10%
,Not very interested,4740,28.80%,23.40%,32.70%,22.70%,26.90%,30.50%,38.60%,35.60%,26.70%,40.60%,20.10%
,Quite interested,2018,12.30%,6.10%,18.50%,8.00%,10.30%,29.10%,16.90%,18.20%,11.60%,10.80%,4.90%
,Very interested,593,3.60%,1.20%,9.60%,2.20%,2.40%,9.20%,3.00%,6.30%,4.50%,1.80%,0.90%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"How interested are you in watching each of these sports? - Winter sports (skiing, snowboar",Not at all interested,5867,35.60%,47.80%,31.70%,36.70%,43.10%,25.30%,31.10%,28.00%,37.60%,37.00%,40.90%
,Not very interested,4992,30.30%,28.20%,37.10%,24.10%,26.90%,33.80%,37.10%,33.80%,30.60%,38.80%,25.60%
,Quite interested,3849,23.40%,18.20%,17.00%,25.50%,21.40%,25.10%,25.20%,25.60%,21.90%,18.70%,23.10%
,Very interested,1758,10.70%,5.80%,14.20%,13.70%,8.60%,15.70%,6.50%,12.50%,9.90%,5.50%,10.40%
,Base (answered),16466,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - UEFA Women's Champion,Not at all interested,3998,45.10%,48.40%,53.80%,46.50%,42.30%,59.40%,38.90%,32.50%,49.40%,37.00%,50.10%
,Not very interested,2693,30.40%,30.50%,27.70%,27.20%,33.80%,28.30%,41.60%,37.80%,28.50%,28.70%,26.60%
,Quite interested,1470,16.60%,13.50%,9.60%,18.00%,13.40%,8.30%,15.80%,20.30%,14.60%,22.30%,16.00%
,Very interested,703,7.90%,7.60%,8.80%,8.30%,10.60%,4.00%,3.80%,9.40%,7.50%,12.00%,7.20%
,Base (answered),8864,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - NCAA College Football,Not at all interested,2547,15.60%,13.60%,13.10%,14.90%,10.10%,13.40%,15.00%,15.60%,20.80%,8.90%,17.00%
,Not very interested,2981,18.30%,18.90%,18.60%,17.00%,16.70%,19.00%,22.50%,21.80%,18.30%,16.00%,14.20%
,Quite interested,5138,31.50%,33.60%,24.20%,29.50%,30.40%,34.30%,32.00%,29.50%,30.00%,38.80%,35.10%
,Very interested,5655,34.60%,33.90%,44.10%,38.60%,42.80%,33.20%,30.60%,33.10%,30.90%,36.30%,33.70%
,Base (answered),16321,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - European Football Lea,Not at all interested,5697,35.00%,58.30%,43.20%,29.50%,32.70%,31.40%,35.40%,33.50%,38.80%,20.30%,44.00%
,Not very interested,4885,30.00%,26.40%,29.20%,28.40%,23.40%,31.40%,37.50%,34.20%,27.20%,34.30%,26.00%
,Quite interested,3802,23.30%,11.90%,17.40%,27.30%,27.00%,26.90%,18.70%,22.10%,22.20%,29.10%,21.40%
,Very interested,1899,11.70%,3.30%,10.20%,14.80%,16.90%,10.20%,8.30%,10.30%,11.80%,16.30%,8.60%
,Base (answered),16283,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - United Football Leagu,Not at all interested,6855,42.20%,58.80%,44.90%,42.30%,41.90%,37.80%,41.30%,35.50%,46.80%,26.80%,48.60%
,Not very interested,5458,33.60%,27.60%,30.80%,31.60%,27.20%,34.20%,41.90%,37.60%,31.20%,41.80%,28.40%
,Quite interested,2792,17.20%,10.20%,15.60%,18.90%,22.10%,19.90%,12.80%,19.00%,15.30%,21.50%,16.00%
,Very interested,1143,7.00%,3.40%,8.70%,7.20%,8.80%,8.10%,4.00%,7.90%,6.80%,9.90%,7.00%
,Base (answered),16248,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Major League Baseball,Not at all interested,95,1.40%,2.20%,0.80%,1.80%,2.00%,0.60%,1.60%,0.90%,1.40%,0.90%,1.50%
,Not very interested,424,6.20%,6.70%,4.90%,7.10%,5.30%,6.90%,10.60%,3.90%,4.40%,4.10%,4.30%
,Quite interested,2933,42.80%,37.10%,40.20%,45.20%,47.60%,38.10%,45.20%,37.90%,40.30%,46.00%,48.10%
,Very interested,3400,49.60%,53.90%,54.10%,45.80%,45.10%,54.40%,42.60%,57.30%,53.90%,49.00%,46.20%
,Base (answered),6852,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - National Basketball A,Not at all interested,170,2.20%,1.20%,1.40%,2.80%,1.70%,2.00%,2.40%,1.60%,2.20%,1.90%,2.30%
,Not very interested,541,7.00%,7.20%,6.20%,8.40%,4.40%,8.10%,9.50%,4.90%,5.30%,8.40%,5.70%
,Quite interested,3284,42.50%,47.40%,29.90%,45.20%,36.50%,40.00%,44.60%,42.10%,38.90%,43.00%,50.30%
,Very interested,3738,48.30%,44.20%,62.60%,43.60%,57.40%,49.80%,43.60%,51.40%,53.60%,46.60%,41.70%
,Base (answered),7733,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - NCAA College Basketba,Not at all interested,1488,19.30%,18.70%,24.30%,25.00%,21.30%,15.90%,19.00%,16.50%,19.80%,12.40%,17.80%
,Not very interested,2523,32.70%,34.30%,33.30%,32.60%,28.70%,31.70%,36.90%,36.80%,26.10%,38.90%,30.90%
,Quite interested,2290,29.70%,30.70%,22.90%,26.50%,31.10%,31.10%,29.00%,28.80%,31.70%,31.70%,31.80%
,Very interested,1422,18.40%,16.30%,19.50%,16.00%,18.90%,21.30%,15.10%,17.90%,22.30%,17.10%,19.60%
,Base (answered),7723,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - FIBA Basketball World,Not at all interested,1660,21.50%,28.20%,25.40%,27.10%,15.40%,14.50%,16.50%,20.10%,24.20%,6.10%,35.30%
,Not very interested,2138,27.70%,32.10%,29.70%,26.50%,19.80%,23.60%,32.70%,38.00%,26.40%,13.10%,34.60%
,Quite interested,2353,30.50%,27.80%,20.10%,29.50%,40.30%,38.20%,34.60%,26.50%,26.60%,41.80%,21.30%
,Very interested,1562,20.30%,11.90%,24.90%,16.90%,24.50%,23.60%,16.20%,15.40%,22.80%,39.00%,8.80%
,Base (answered),7713,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - PGA Tour / LPGA Tour,Not at all interested,120,3.60%,3.70%,4.50%,4.00%,0.90%,2.60%,3.00%,4.80%,3.50%,1.40%,5.40%
,Not very interested,406,12.20%,12.80%,18.20%,11.20%,13.50%,13.90%,14.70%,12.30%,8.90%,14.60%,12.80%
,Quite interested,1513,45.50%,40.90%,34.10%,43.10%,43.20%,47.40%,51.40%,40.30%,47.00%,42.50%,47.90%
,Very interested,1287,38.70%,42.70%,43.20%,41.60%,42.30%,36.10%,30.90%,42.60%,40.50%,41.50%,33.80%
,Base (answered),3326,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - European Tour,Not at all interested,486,14.70%,19.00%,16.30%,9.70%,24.30%,8.30%,18.60%,18.30%,16.80%,11.30%,12.20%
,Not very interested,952,28.70%,30.70%,37.20%,22.30%,27.90%,29.00%,44.50%,26.00%,26.20%,34.60%,21.40%
,Quite interested,1189,35.90%,31.90%,18.60%,40.10%,21.60%,39.90%,28.90%,34.40%,35.60%,35.00%,44.20%
,Very interested,689,20.80%,18.40%,27.90%,27.90%,26.10%,22.80%,7.90%,21.20%,21.50%,19.10%,22.20%
,Base (answered),3316,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - LIV Golf,Not at all interested,889,26.80%,22.40%,11.60%,31.20%,35.10%,19.70%,22.50%,15.20%,30.20%,8.70%,43.80%
,Not very interested,1085,32.70%,26.10%,34.90%,30.00%,29.70%,33.70%,50.50%,28.70%,30.90%,31.50%,26.40%
,Quite interested,882,26.60%,27.90%,27.90%,25.00%,22.50%,35.80%,20.80%,33.90%,26.10%,33.90%,22.70%
,Very interested,460,13.90%,23.60%,25.60%,13.80%,12.60%,10.90%,6.20%,22.30%,12.90%,25.90%,7.20%
,Base (answered),3316,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - National Hockey Leagu,Not at all interested,174,2.80%,5.00%,1.80%,4.10%,0.80%,0.70%,3.10%,1.70%,2.40%,0.60%,3.30%
,Not very interested,679,11.00%,8.30%,9.60%,15.70%,4.60%,9.00%,15.50%,12.90%,7.80%,5.90%,6.70%
,Quite interested,2656,43.20%,38.40%,39.50%,39.00%,43.60%,43.60%,51.50%,46.20%,42.00%,50.90%,44.50%
,Very interested,2646,43.00%,48.30%,49.10%,41.20%,51.00%,46.70%,29.90%,39.30%,47.80%,42.60%,45.40%
,Base (answered),6155,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Ultimate Fighting Cha,Not at all interested,67,2.20%,2.60%,2.10%,1.70%,1.70%,1.80%,4.80%,2.30%,1.50%,2.10%,1.20%
,Not very interested,283,9.30%,6.10%,7.40%,12.70%,8.40%,10.90%,15.00%,6.80%,6.50%,9.20%,5.60%
,Quite interested,1443,47.20%,45.20%,35.80%,46.00%,40.30%,59.10%,53.40%,42.20%,49.10%,43.60%,53.60%
,Very interested,1262,41.30%,46.10%,54.70%,39.70%,49.60%,28.20%,26.80%,48.70%,42.90%,45.00%,39.70%
,Base (answered),3055,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Formula 1,Not at all interested,315,4.50%,5.20%,3.40%,7.50%,5.60%,3.50%,4.40%,1.40%,3.60%,2.10%,7.00%
,Not very interested,597,8.50%,7.30%,9.00%,10.90%,9.60%,9.80%,12.40%,4.40%,7.00%,6.50%,8.10%
,Quite interested,2013,28.60%,22.80%,24.90%,32.90%,25.90%,25.70%,43.90%,18.10%,24.00%,28.30%,29.50%
,Very interested,4122,58.50%,64.70%,62.70%,48.70%,59.00%,61.10%,39.20%,76.20%,65.40%,63.10%,55.40%
,Base (answered),7047,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - MotoGP,Not at all interested,1619,23.00%,26.20%,30.90%,30.60%,27.70%,9.50%,17.00%,21.70%,25.20%,7.50%,32.20%
,Not very interested,1941,27.60%,30.00%,34.90%,26.40%,20.90%,23.10%,30.40%,34.20%,30.60%,15.90%,29.80%
,Quite interested,1839,26.20%,22.70%,19.40%,24.30%,23.70%,31.00%,33.50%,26.00%,23.70%,32.20%,21.20%
,Very interested,1626,23.10%,21.00%,14.90%,18.70%,27.70%,36.30%,19.10%,18.00%,20.60%,44.40%,16.80%
,Base (answered),7025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - NASCAR,Not at all interested,2041,29.00%,33.30%,27.10%,32.20%,28.90%,30.80%,22.30%,23.80%,30.70%,20.90%,39.40%
,Not very interested,2160,30.70%,28.10%,31.60%,27.00%,24.50%,33.50%,41.20%,32.20%,30.70%,34.90%,22.50%
,Quite interested,1758,25.00%,22.90%,22.60%,24.90%,26.50%,22.30%,27.40%,26.20%,22.70%,27.50%,25.10%
,Very interested,1072,15.20%,15.60%,18.60%,15.80%,20.10%,13.40%,9.10%,17.80%,15.90%,16.70%,13.00%
,Base (answered),7031,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - The 6 Nations Champio,Not at all interested,468,9.70%,13.00%,14.10%,17.40%,0.70%,0.80%,20.70%,17.80%,8.10%,0.00%,2.10%
,Not very interested,741,15.30%,20.50%,24.40%,20.10%,2.90%,5.80%,35.00%,29.00%,15.00%,4.70%,1.80%
,Quite interested,1539,31.80%,36.00%,23.10%,33.70%,24.80%,38.50%,28.40%,31.70%,32.70%,38.10%,27.60%
,Very interested,2091,43.20%,30.50%,38.50%,28.80%,71.60%,54.80%,16.00%,21.50%,44.20%,57.20%,68.50%
,Base (answered),4839,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Super Rugby,Not at all interested,614,12.70%,9.50%,5.20%,10.20%,25.20%,12.90%,5.70%,3.90%,9.70%,6.60%,28.10%
,Not very interested,1248,25.80%,17.60%,18.20%,25.90%,31.00%,38.30%,22.60%,19.80%,22.50%,28.20%,27.90%
,Quite interested,1905,39.40%,39.20%,41.60%,43.40%,29.40%,30.90%,52.90%,47.10%,40.00%,42.20%,26.80%
,Very interested,1070,22.10%,33.70%,35.10%,20.40%,14.40%,17.90%,18.80%,29.10%,27.80%,23.00%,17.20%
,Base (answered),4837,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Aviva Premiership Rug,Not at all interested,895,18.50%,30.20%,12.80%,18.70%,33.20%,20.80%,17.30%,7.20%,19.60%,11.40%,17.40%
,Not very interested,1670,34.50%,40.70%,33.30%,30.60%,35.50%,46.00%,43.40%,27.00%,35.70%,38.20%,24.60%
,Quite interested,1490,30.80%,19.60%,26.90%,36.20%,21.50%,22.40%,30.70%,42.30%,29.40%,34.10%,30.50%
,Very interested,782,16.20%,9.50%,26.90%,14.50%,9.80%,10.80%,8.70%,23.40%,15.40%,16.40%,27.50%
,Base (answered),4837,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - United Rugby Champion,Not at all interested,936,19.40%,26.50%,14.10%,15.00%,35.30%,24.40%,15.60%,5.40%,17.70%,10.90%,29.70%
,Not very interested,1618,33.50%,38.00%,32.10%,28.30%,33.30%,43.30%,40.80%,25.50%,33.30%,38.90%,28.50%
,Quite interested,1526,31.60%,24.50%,24.40%,40.10%,20.90%,21.90%,33.20%,43.20%,30.90%,34.40%,26.10%
,Very interested,753,15.60%,11.00%,29.50%,16.60%,10.50%,10.30%,10.40%,25.80%,18.00%,15.90%,15.70%
,Base (answered),4833,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - ATP World Tour,Not at all interested,586,10.30%,19.00%,5.70%,7.40%,8.60%,4.50%,22.10%,10.60%,11.20%,2.10%,19.10%
,Not very interested,982,17.30%,20.90%,14.60%,20.00%,16.20%,8.40%,32.20%,14.70%,16.30%,10.20%,22.90%
,Quite interested,2316,40.70%,44.20%,36.70%,44.50%,48.60%,40.50%,33.50%,35.00%,38.00%,49.80%,41.10%
,Very interested,1806,31.70%,16.00%,43.00%,28.10%,26.70%,46.60%,12.20%,39.70%,34.50%,38.00%,16.90%
,Base (answered),5690,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - WTA World Tour,Not at all interested,1116,19.70%,27.20%,17.70%,17.70%,17.10%,14.50%,22.50%,17.30%,20.40%,21.20%,25.30%
,Not very interested,1600,28.20%,29.60%,24.10%,30.40%,28.90%,25.50%,38.10%,23.40%,24.60%,32.40%,27.70%
,Quite interested,1870,33.00%,29.60%,31.00%,34.30%,36.50%,36.50%,31.20%,32.10%,31.80%,32.50%,34.30%
,Very interested,1089,19.20%,13.60%,27.20%,17.70%,17.50%,23.40%,8.20%,27.20%,23.20%,13.80%,12.80%
,Base (answered),5675,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - FIVB World Cup,Not at all interested,490,19.10%,27.70%,15.00%,31.30%,11.00%,16.20%,11.20%,18.00%,19.40%,7.20%,40.60%
,Not very interested,723,28.20%,38.30%,19.60%,38.20%,23.30%,24.10%,21.30%,30.40%,28.10%,24.30%,33.30%
,Quite interested,798,31.20%,23.40%,37.40%,20.50%,39.70%,39.40%,30.30%,32.90%,28.10%,46.70%,19.80%
,Very interested,549,21.40%,10.60%,28.00%,10.00%,26.00%,20.30%,37.10%,18.70%,24.40%,21.70%,6.30%
,Base (answered),2560,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Superlega - Lega Pall,Not at all interested,859,33.60%,40.40%,35.20%,55.50%,47.90%,5.90%,27.10%,35.00%,34.60%,25.00%,51.60%
,Not very interested,904,35.30%,38.30%,40.70%,30.40%,30.10%,29.30%,39.70%,37.60%,36.80%,42.80%,27.40%
,Quite interested,555,21.70%,12.80%,12.00%,10.00%,15.10%,46.30%,24.90%,18.80%,18.10%,24.30%,16.80%
,Very interested,242,9.50%,8.50%,12.00%,4.10%,6.80%,18.50%,8.40%,8.50%,10.40%,7.90%,4.20%
,Base (answered),2560,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
And how interested are you in watching the following competitions? - Rally,Not at all interested,2148,30.60%,40.90%,39.80%,36.30%,31.30%,36.20%,15.80%,28.90%,30.40%,22.10%,36.10%
,Not very interested,2042,29.10%,28.00%,27.30%,27.90%,23.30%,30.10%,27.30%,32.30%,28.20%,36.40%,25.80%
,Quite interested,1923,27.40%,21.10%,19.90%,25.10%,31.70%,24.50%,39.90%,25.60%,26.60%,26.40%,28.30%
,Very interested,904,12.90%,9.90%,13.10%,10.80%,13.70%,9.20%,16.90%,13.20%,14.80%,15.10%,9.80%
,Base (answered),7017,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"Please estimate your annual household income after taxes.
Please select one only.",Prefer not to answer,412,24.60%,-,-,-,-,-,-,-,-,-,24.60%
,"£10,000 or less",24,1.40%,-,-,-,-,-,-,-,-,-,1.40%
,"£10,001 - £15,000",28,1.70%,-,-,-,-,-,-,-,-,-,1.70%
,"£100,001 - £125,000",109,6.50%,-,-,-,-,-,-,-,-,-,6.50%
,"£125,001 or more",186,11.10%,-,-,-,-,-,-,-,-,-,11.10%
,"£15,001 - £20,000",27,1.60%,-,-,-,-,-,-,-,-,-,1.60%
,"£20,001 - £24,000",43,2.60%,-,-,-,-,-,-,-,-,-,2.60%
,"£24,001 - £29,000",41,2.40%,-,-,-,-,-,-,-,-,-,2.40%
,"£29,001 - £34,000",70,4.20%,-,-,-,-,-,-,-,-,-,4.20%
,"£34,001 - £40,000",98,5.80%,-,-,-,-,-,-,-,-,-,5.80%
